sampleId	replicate	strain	type
S3C_1	1	S3C	ppc
S3C_2	2	S3C	ppc
S3C_3	3	S3C	ppc
T41T_1	1	T41T	ppc
T41T_2	2	T41T	ppc
T41T_3	3	T41T	ppc
WT_1	1	WT	tils
WT_2	2	WT	tils
WT_3	3	WT	tils
