UniqueCount	AmbigCount
1523	0
7683	0
10865	0
195	0
88	0
3	0
65	0
8	0
28	0
84	0
47	0
70	0
10	0
178	0
201	0
288	0
328	0
210	0
124	0
497	0
285	0
200	0
423	0
51	0
44	0
124	0
581	0
633	0
9	0
9	0
26	0
15	0
4	0
17	0
12	0
87	0
110	0
115	0
914	0
542	0
465	0
680	0
891	0
127	0
335	0
597	0
57	0
270	0
61	0
319	0
110	0
438	0
549	0
231	0
142	0
53	0
144	0
792	0
67	0
786	0
963	0
3225	0
97	0
622	0
24705	0
283	0
1022	0
1295	0
2382	0
3402	0
197	0
204	0
646	0
177	0
3175	0
251	0
712	0
55	0
93	0
1238	0
73	0
91	0
268	0
160	0
331	0
28	0
84	0
77	0
135	0
5	0
40	0
7	0
2051	0
743	0
662	0
2412	0
431	0
12	0
693	0
1801	0
3702	0
3935	0
2278	0
9765	0
4677	0
10090	0
583	0
220	0
45	0
508	0
1711	0
410	0
1211	0
8458	0
34	0
275	0
616	0
159	0
39	0
52	0
36	0
131	0
1595	0
1283	0
98	0
233	0
993	0
119	0
250	0
88	0
51	0
41	0
61	0
5780	0
274	0
311	0
143	0
539	0
62	0
13	0
67	0
719	0
322	0
7791	0
3274	0
3069	0
328	0
633	0
99	0
911	0
591	0
1908	0
40	0
103	0
31	0
122	0
36	0
14	0
111	0
131	0
199	0
18	0
21	0
7	0
6	0
19	0
6	0
90	0
54	0
92	0
82	0
34	0
6	0
15	0
57	0
28	0
20	0
590	0
89	0
21	0
17	0
152	0
686	0
933	0
70	0
143	0
2765	0
3884	0
22	0
765	0
1402	0
753	0
1320	0
2071	0
3	0
5	0
26	0
60	0
3	0
1	0
2	0
32	0
21	0
13	0
12	0
4204	0
2737	0
1069	0
624	0
1463	0
225	0
299	0
49	0
8	0
179	0
69	0
644	0
21	0
252	0
2401	0
2724	0
609	0
761	0
1585	0
51	0
372	0
1099	0
677	0
624	0
697	0
118	0
416	0
432	0
2182	0
271	0
79	0
749	0
1629	0
1036	0
5313	0
84351	0
1889	0
520	0
333	0
509	0
128	0
300	0
5523	0
670	0
1157	0
548	0
313	0
3020	0
1920	0
1015	0
6307	0
1889	0
3242	1
1710	0
880	0
2822	0
2118	0
898	0
238	0
668	0
61	0
642	0
282	0
973	0
370	0
717	0
8700	0
397	0
1416	0
275	0
281	0
19	0
420	2474
39	0
45	0
2390	0
100	0
582	0
318	0
644	0
2498	0
211	0
2	336
110	0
58	0
259	0
975	0
246	0
9	0
21	0
7	0
33	0
22	0
59	0
84	0
31	0
36	0
30	0
192	0
3745	0
130	0
85	0
139	0
11	0
56	0
43	0
78	0
240	0
2944	0
240	0
50	0
3285	0
1651	0
2626	0
79	0
341	0
141	0
8439	0
216	0
554	0
55	0
13	0
94	0
29	0
54	0
171	0
25	0
1750	64416
5275	0
7506	0
5861	0
8956	0
10568	0
21086	0
18976	0
27760	0
1113	0
5098	0
9390	0
24858	0
1170	64416
3692	0
9656	0
15943	0
7884	0
8417	0
7088	0
2374	0
13805	0
6704	0
1511	0
6260	0
10819	0
7385	0
11323	0
12341	0
10196	0
12080	0
5899	0
7122	0
4009	0
6355	0
10607	0
3922	0
3569	0
13286	0
9253	0
9303	0
11364	0
2786	0
545	0
1353	0
3128	0
701	0
2606	0
1377	0
1073	0
497	0
130	0
1040	0
350	0
993	7
30	0
18	0
19	0
154	0
896	0
1152	0
563	0
1089	0
76	0
159	0
368	0
103	0
5265	0
4046	0
10210	0
2809	0
415	0
21	0
101	0
162	0
41	0
849	0
1073	0
221	0
1471	0
673	0
700	0
471	0
995	0
1032	0
3240	0
68	0
860	0
130	0
262	0
617	0
236	0
902	0
230	0
481	0
74	0
226	0
1895	0
461	0
635	0
268	0
1726	0
1726	0
3023	0
1122	0
803	0
658	0
911	0
1066	0
1591	0
3324	0
9350	0
790	0
255	0
173	0
61	0
90	0
65	0
610	0
540	0
444	0
2602	0
2000	0
2666	0
2	0
413	0
2267	0
7160	0
2204	0
71	0
657	0
1631	0
1161	0
4618	0
10277	0
22766	0
79451	0
2105	0
2054	0
529	0
3127	0
1340	0
3753	0
1210	0
1202	0
1311	0
3076	0
10	0
241	0
244	0
1066	0
524	0
2550	0
1293	0
1915	0
152	0
23	0
28	0
65	0
812	0
108	0
