UniqueCount	AmbigCount
1714	0
8010	0
11693	0
135	0
65	0
0	0
48	0
7	0
20	0
74	0
24	0
38	0
10	0
83	0
118	0
223	0
255	0
129	0
63	0
263	0
235	0
123	0
210	0
14	0
11	0
62	0
455	0
577	0
8	0
6	0
13	0
11	0
2	0
28	0
6	0
49	0
72	0
68	0
391	0
275	0
328	0
577	0
1166	0
74	0
391	0
474	0
34	0
268	0
81	0
268	0
84	0
189	0
410	0
179	0
123	0
48	0
108	0
564	0
82	0
426	0
607	0
2321	0
87	0
416	0
16790	0
193	0
908	0
889	0
1486	0
2532	0
178	0
162	0
537	0
148	0
2240	0
162	0
615	0
43	0
52	0
482	0
82	0
70	0
378	0
257	0
488	0
38	0
110	0
176	0
129	0
14	0
36	0
7	0
1651	0
517	0
589	0
1672	0
311	0
12	0
738	0
1900	0
3173	0
3721	0
2122	0
7808	0
3730	0
7807	0
498	0
199	0
30	0
350	0
1486	0
307	0
1016	0
5447	0
33	0
293	0
852	0
129	0
31	0
19	0
35	0
80	0
1028	0
464	0
49	0
124	0
374	0
88	0
187	0
53	0
40	0
10	0
34	0
3159	0
207	0
200	0
96	0
255	0
38	0
10	0
26	0
624	0
254	0
6001	0
2121	0
2840	0
255	0
535	0
85	0
891	0
494	0
1382	0
21	0
69	0
32	0
117	0
33	0
11	0
46	0
75	0
127	0
16	0
25	0
1	0
4	0
11	0
1	0
46	0
35	0
44	0
64	0
18	0
5	0
10	0
37	0
25	0
19	0
292	0
41	0
13	0
9	0
113	0
416	0
806	0
42	0
112	0
4979	0
6264	0
10	0
2424	0
2822	0
573	0
1103	0
1700	0
6	0
2	0
18	0
50	0
0	0
0	0
1	0
21	0
19	0
3	0
7	0
1963	0
1226	0
424	0
335	0
939	0
55	0
110	0
28	0
7	0
164	0
32	0
322	0
12	0
112	0
832	0
1226	0
293	0
564	0
1190	0
26	0
626	0
721	0
537	0
464	0
934	0
83	0
247	0
175	0
1062	0
127	0
45	0
350	0
754	0
1203	0
5040	0
54298	0
3491	0
424	0
530	0
343	0
145	0
284	0
1024	0
127	0
407	0
185	0
149	0
3521	0
2393	0
1257	0
6586	0
1802	0
3552	0
1821	0
928	0
2716	0
2218	0
948	0
209	0
482	0
38	0
260	0
177	0
513	0
185	0
368	0
5031	0
277	0
900	0
174	0
192	0
9	0
321	1600
33	0
35	0
1498	0
76	0
429	0
285	0
725	0
4200	0
314	0
0	469
100	0
